,order_id,customer_id,product_id,quantity,unit_price,order_date,delivery_status,payment_method,region,discount_applied
58,O756742,C00077,P0013,5,13.7,2025-06-07,Delayed,PayPal,East,0
59,O210583,C00384,P0026,4,38.54,2025-06-07,Delivered,Credit Card,West,0
60,O778545,C00195,P0001,2,27.55,2025-06-07,Cancelled,Credit Card,West,0
61,O250174,C00181,P0011,2,24.53,2025-06-07,Delayed,Bank Transfer,South,0.1
62,O779423,C00152,P0022,3,35.67,2025-06-07,Delivered,PayPal,West,0
63,O158221,C00443,P0017,5,21.31,2025-06-07,Cancelled,Credit Card,South,0
64,O415017,C00263,P0002,1,31.39,2025-06-07,Cancelled,Credit Card,Central,0
65,O411654,C00357,P0005,5,38.0,2025-06-07,Delivered,Credit Card,West,0
66,O545752,C00020,P0022,2,19.1,2025-06-07,Delivered,Credit Card,East,0
67,O970556,C00465,P0011,3,29.38,2025-06-07,Cancelled,Bank Transfer,North,0.05
68,O493424,C00356,P0003,1,32.26,2025-06-07,Delivered,Bank Transfer,South,0.05
69,O209171,C00415,P0030,5,38.84,2025-06-07,Cancelled,Bank Transfer,North,0.2
70,O422815,C00272,P0017,1,44.92,2025-06-07,Delivered,Credit Card,North,0.2
71,O112343,C00420,P0029,2,45.57,2025-06-07,Delayed,Credit Card,Central,0
72,O129237,C00342,P0022,4,15.33,2025-06-07,Delayed,PayPal,East,0
73,O418152,C00110,P0030,2,48.25,2025-06-07,Cancelled,Credit Card,West,0.1
74,O359098,C00352,P0014,4,11.54,2025-06-07,Delivered,Credit Card,South,0.05
75,O772183,C00045,P0026,2,30.96,2025-06-07,Delayed,PayPal,West,0.15
76,O399621,C00147,P0016,3,31.26,2025-06-07,Cancelled,Bank Transfer,Central,0.1
77,O362898,C00452,P0025,1,37.16,2025-06-07,Delivered,Credit Card,East,0
78,O657302,C00338,P0016,1,28.45,2025-06-07,Delayed,Bank Transfer,North,0
79,O691691,C00033,P0030,1,30.05,2025-06-07,Cancelled,Credit Card,Central,0.05
81,O622429,C00056,P0016,1,45.87,2025-06-07,Delayed,Credit Card,Central,0.15
82,O429017,C00131,P0028,5,24.03,2025-06-07,Delivered,Bank Transfer,North,0
83,O773027,C00172,P0005,5,28.61,2025-06-07,Delivered,PayPal,Central,0.1
84,O486175,C00441,P0026,1,48.56,2025-06-07,Delivered,Bank Transfer,Central,0.1
85,O914359,C00386,P0027,1,34.25,2025-06-07,Delayed,PayPal,South,0.1
86,O251988,C00052,P0029,5,27.55,2025-06-07,Delayed,Credit Card,South,0.1
87,O310886,C00256,P0029,4,40.76,2025-06-07,Delayed,Bank Transfer,East,0.2
88,O536236,C00192,P0019,3,32.04,2025-06-07,Delivered,PayPal,Central,0
89,O782603,C00259,P0016,4,43.95,2025-06-07,Delayed,Credit Card,South,0
90,O673771,C00126,P0022,3,44.95,2025-06-07,Delivered,Credit Card,North,0.1
91,O821870,C00371,P0011,5,39.49,2025-06-07,Delayed,Credit Card,East,0
92,O521398,C00419,P0010,4,40.27,2025-06-07,Delivered,Bank Transfer,South,0.15
93,O198927,C00139,P0006,1,29.26,2025-06-07,Delayed,Credit Card,North,0.15
94,O293081,C00449,P0025,3,26.26,2025-06-07,Delivered,Credit Card,South,0.1
95,O911659,C00152,P0001,4,9.6,2025-06-07,Cancelled,Bank Transfer,North,0.05
96,O312192,C00469,P0022,4,49.75,2025-06-07,Delivered,Credit Card,West,0.05
97,O494631,C00239,P0030,2,29.19,2025-06-07,Delayed,PayPal,South,0
98,O301929,C00221,P0025,3,18.29,2025-06-07,Cancelled,Bank Transfer,Central,0.15
99,O101648,C00238,P0011,1,19.39,2025-06-07,Delayed,Credit Card,South,0
100,O753282,C00008,P0007,4,39.63,2025-06-07,Cancelled,Bank Transfer,East,0.05
101,O875628,C00479,P0011,3,12.08,2025-06-07,Delivered,Bank Transfer,North,0.2
102,O384964,C00476,P0017,3,34.16,2025-06-07,Delayed,Credit Card,Central,0.15
103,O796756,C00040,P0027,2,38.66,2025-06-07,Delayed,Credit Card,South,0.05
104,O291094,C00327,P0026,2,30.11,2025-06-07,Delivered,Credit Card,South,0
105,O532899,C00275,P0021,3,20.38,2025-06-07,Delivered,Bank Transfer,East,0.05
106,O909075,C00073,P0002,3,47.54,2025-06-07,Cancelled,Credit Card,West,0.2
107,O619650,C00318,P0029,2,26.67,2025-06-07,Delayed,Credit Card,East,0.05
108,O542524,C00044,P0014,5,49.51,2025-06-07,Delayed,Credit Card,West,0
109,O612638,C00377,P0016,4,20.8,2025-06-07,Delayed,PayPal,North,0
110,O136068,C00421,P0012,1,21.09,2025-06-07,Cancelled,Credit Card,East,0
111,O637085,C00010,P0020,1,15.18,2025-06-07,Delayed,Credit Card,East,0.15
112,O494343,C00445,P0012,5,44.15,2025-06-07,Delivered,Credit Card,South,0.05
113,O267004,C00041,P0004,5,33.0,2025-06-07,Delivered,PayPal,East,0
114,O828103,C00008,P0005,4,46.14,2025-06-07,Cancelled,Credit Card,South,0
115,O948197,C00028,P0030,2,41.45,2025-06-07,Delayed,PayPal,East,0.1
116,O537059,C00079,P0015,3,44.87,2025-06-07,Delivered,Credit Card,South,0.1
117,O536172,C00214,P0019,1,9.01,2025-06-07,Cancelled,Credit Card,East,0
118,O619476,C00229,P0014,4,10.79,2025-06-07,Delayed,PayPal,West,0.1
119,O207553,C00281,P0006,1,44.98,2025-06-07,Delayed,Bank Transfer,East,0.05
120,O803247,C00311,P0029,5,30.1,2025-06-07,Delayed,PayPal,South,0.05
121,O614893,C00064,P0011,4,22.73,2025-06-07,Delivered,PayPal,North,0.05
122,O658279,C00313,P0002,2,28.15,2025-06-07,Delivered,PayPal,West,0
123,O283531,C00208,P0012,4,34.66,2025-06-07,Delivered,Bank Transfer,East,0.1
124,O391107,C00072,P0010,2,14.81,2025-06-07,Delayed,Credit Card,Central,0
125,O621260,C00426,P0022,5,15.65,2025-06-07,Delivered,Credit Card,East,0.2
126,O512253,C00308,P0018,3,40.41,2025-06-07,Delivered,Credit Card,East,0.2
127,O288567,C00177,P0029,1,21.22,2025-06-07,Cancelled,Bank Transfer,West,0.15
128,O515824,C00383,P0024,2,32.18,2025-06-07,Delivered,PayPal,East,0
129,O773319,C00481,P0018,3,35.97,2025-06-07,Cancelled,Credit Card,South,0.05
130,O449151,C00450,P0016,5,22.62,2025-06-07,Cancelled,Credit Card,Central,0.15
131,O822528,C00102,P0021,1,49.84,2025-06-07,Delayed,Bank Transfer,West,0.15
132,O634569,C00428,P0014,2,38.37,2025-06-07,Delayed,Credit Card,North,0
133,O486184,C00353,P0020,1,41.22,2025-06-07,Delivered,PayPal,East,0.2
134,O140042,C00475,P0002,1,42.6,2025-06-07,Delayed,Bank Transfer,Central,0.1
135,O652283,C00020,P0003,4,14.4,2025-06-07,Delayed,PayPal,Central,0
136,O737500,C00443,P0014,5,38.44,2025-06-07,Cancelled,Credit Card,South,0
137,O573673,C00260,P0019,4,16.07,2025-06-07,Delivered,Bank Transfer,Central,0.2
138,O808829,C00313,P0002,1,21.72,2025-06-07,Cancelled,Credit Card,West,0.05
139,O209530,C00438,P0007,2,37.88,2025-06-07,Delayed,Bank Transfer,West,0.15
140,O960644,C00225,P0019,2,39.02,2025-06-07,Delayed,Credit Card,North,0
141,O302611,C00394,P0009,2,32.58,2025-06-07,Delivered,Credit Card,Central,0.05
142,O570855,C00245,P0008,2,15.18,2025-06-07,Cancelled,Credit Card,West,0.2
143,O725272,C00063,P0012,2,10.16,2025-06-07,Delayed,PayPal,West,0.1
144,O766853,C00431,P0030,5,49.66,2025-06-07,Delivered,Credit Card,North,0
145,O386119,C00256,P0008,2,9.47,2025-06-07,Delivered,Credit Card,North,0.15
146,O216896,C00413,P0001,5,49.41,2025-06-07,Delivered,Credit Card,South,0.1
147,O479932,C00382,P0027,4,48.65,2025-06-07,Delayed,Credit Card,West,0.15
148,O927428,C00228,P0011,4,44.52,2025-06-07,Delivered,PayPal,East,0
149,O741164,C00143,P0001,3,41.52,2025-06-07,Delivered,Bank Transfer,East,0
150,O372036,C00472,P0007,5,32.51,2025-06-07,Delayed,Credit Card,West,0.05
151,O190070,C00018,P0002,5,16.79,2025-06-07,Delivered,PayPal,South,0
152,O229936,C00437,P0027,2,20.82,2025-06-07,Delayed,PayPal,North,0.2
153,O967591,C00224,P0006,3,43.01,2025-06-07,Delivered,PayPal,West,0
154,O863622,C00111,P0030,4,23.39,2025-06-07,Delayed,Bank Transfer,West,0.1
155,O544736,C00369,P0013,5,21.96,2025-06-07,Delivered,Credit Card,Central,0.2
156,O515400,C00103,P0024,4,44.15,2025-06-07,Delivered,PayPal,East,0.15
157,O582151,C00493,P0025,1,30.19,2025-06-07,Delayed,Credit Card,South,0
158,O291427,C00323,P0016,1,17.83,2025-06-07,Delayed,PayPal,North,0
160,O178453,C00473,P0008,5,32.92,2025-06-07,Delayed,PayPal,South,0
161,O187900,C00115,P0003,2,40.24,2025-06-07,Delayed,Credit Card,East,0.1
162,O474137,C00294,P0011,5,8.49,2025-06-07,Delayed,Bank Transfer,South,0
163,O885631,C00192,P0006,5,39.56,2025-06-07,Delivered,Credit Card,South,0
164,O102812,C00253,P0006,4,32.3,2025-06-07,Delayed,Credit Card,South,0.15
165,O482836,C00469,P0013,2,41.1,2025-06-07,Delivered,Credit Card,North,0.1
166,O428722,C00140,P0007,5,19.94,2025-06-07,Delivered,Bank Transfer,North,0.15
167,O515257,C00441,P0013,3,11.13,2025-06-07,Delayed,Credit Card,West,0
168,O169645,C00449,P0003,2,13.32,2025-06-07,Delivered,Credit Card,West,0.1
169,O729478,C00284,P0001,1,23.24,2025-06-07,Delivered,Bank Transfer,South,0
170,O231230,C00358,P0017,3,25.67,2025-06-07,Delayed,Bank Transfer,West,0.1
171,O534353,C00198,P0013,4,29.21,2025-06-07,Delayed,Bank Transfer,South,0.15
172,O636501,C00234,P0021,3,25.83,2025-06-07,Delayed,Credit Card,North,0.05
173,O259057,C00233,P0013,3,25.26,2025-06-07,Delayed,PayPal,East,0.2
174,O131413,C00119,P0020,5,32.94,2025-06-07,Delayed,Bank Transfer,North,0
175,O544778,C00498,P0001,2,45.51,2025-06-07,Cancelled,Bank Transfer,West,0
176,O789755,C00330,P0013,2,11.44,2025-06-07,Delivered,PayPal,South,0.05
177,O415841,C00015,P0009,4,46.87,2025-06-07,Delayed,PayPal,South,0
178,O846865,C00191,P0027,4,47.47,2025-06-07,Delivered,Bank Transfer,East,0
179,O672067,C00060,P0025,1,11.43,2025-06-07,Delayed,Credit Card,Central,0.05
180,O508175,C00440,P0008,2,47.33,2025-06-07,Delivered,Credit Card,North,0.2
181,O394184,C00296,P0006,3,27.33,2025-06-07,Cancelled,PayPal,North,0.15
182,O609836,C00297,P0013,2,35.57,2025-06-07,Delayed,Credit Card,East,0.05
183,O448033,C00276,P0026,2,27.52,2025-06-07,Cancelled,Credit Card,West,0
184,O463527,C00414,P0026,5,38.82,2025-06-07,Delivered,Bank Transfer,East,0
185,O688564,C00064,P0007,3,47.27,2025-06-07,Delayed,PayPal,West,0.1
187,O600845,C00423,P0015,2,21.16,2025-06-07,Delivered,PayPal,North,0
188,O893072,C00127,P0028,4,47.02,2025-06-07,Delivered,Bank Transfer,Central,0
189,O545533,C00184,P0006,2,25.85,2025-06-07,Delayed,Credit Card,South,0
190,O502404,C00180,P0014,4,32.13,2025-06-07,Delayed,Credit Card,West,0.2
191,O864368,C00286,P0027,2,46.66,2025-06-07,Delayed,PayPal,East,0
192,O360765,C00358,P0021,3,46.79,2025-06-07,Cancelled,PayPal,South,0
193,O509053,C00319,P0017,5,11.11,2025-06-07,Delivered,Bank Transfer,North,0.05
194,O342273,C00411,P0030,4,27.27,2025-06-07,Delivered,PayPal,Central,0.1
195,O905284,C00324,P0007,2,36.55,2025-06-07,Delayed,PayPal,East,0.2
196,O871459,C00131,P0024,5,27.28,2025-06-07,Delayed,PayPal,North,0
197,O383252,C00496,P0017,4,27.08,2025-06-07,Delayed,Credit Card,North,0
198,O364299,C00067,P0020,2,13.06,2025-06-07,Cancelled,Bank Transfer,North,0.2
199,O110354,C00010,P0026,1,11.32,2025-06-07,Delivered,Bank Transfer,South,0.15
200,O341129,C00154,P0006,2,21.98,2025-06-07,Cancelled,Credit Card,East,0.05
201,O192178,C00259,P0018,5,9.66,2025-06-07,Delivered,PayPal,South,0
202,O516591,C00095,P0010,4,41.56,2025-06-07,Delivered,Credit Card,East,0.15
203,O884667,C00250,P0018,5,31.78,2025-06-07,Delayed,Credit Card,South,0.05
204,O484212,C00360,P0030,1,22.41,2025-06-07,Delivered,Bank Transfer,North,0.2
205,O977187,C00429,P0013,4,46.24,2025-06-07,Delivered,Credit Card,North,0.15
206,O975068,C00074,P0011,1,17.2,2025-06-07,Delivered,Credit Card,Central,0
207,O803932,C00094,P0003,3,23.27,2025-06-07,Delayed,Bank Transfer,North,0.1
208,O186024,C00161,P0012,2,34.01,2025-06-07,Delayed,Credit Card,Central,0
209,O186250,C00329,P0021,4,44.31,2025-06-07,Delayed,PayPal,South,0.2
210,O612237,C00407,P0010,2,40.65,2025-06-07,Delivered,Bank Transfer,Central,0.2
211,O253815,C00285,P0024,5,22.17,2025-06-07,Delivered,PayPal,South,0.1
212,O749429,C00335,P0027,5,10.11,2025-06-07,Delivered,PayPal,Central,0.15
213,O483354,C00329,P0029,3,40.29,2025-06-07,Delayed,PayPal,East,0
214,O180836,C00351,P0022,4,30.13,2025-06-07,Delivered,Credit Card,South,0.2
215,O419728,C00359,P0011,5,13.85,2025-06-07,Delivered,Credit Card,Central,0.05
216,O116986,C00157,P0030,2,44.4,2025-06-07,Delivered,Credit Card,West,0.05
217,O139338,C00104,P0010,3,40.22,2025-06-07,Delivered,Bank Transfer,South,0
218,O689360,C00365,P0009,2,35.28,2025-06-07,Cancelled,PayPal,Central,0
219,O550663,C00095,P0028,2,44.9,2025-06-07,Delivered,PayPal,East,0.05
220,O455530,C00113,P0005,5,41.73,2025-06-07,Delayed,PayPal,East,0.05
221,O269928,C00455,P0027,2,20.45,2025-06-07,Delayed,Bank Transfer,South,0.05
222,O595368,C00123,P0022,2,43.88,2025-06-07,Delivered,Credit Card,North,0.1
223,O729784,C00162,P0001,2,22.06,2025-06-07,Cancelled,Bank Transfer,West,0.1
224,O529240,C00245,P0025,1,23.81,2025-06-07,Delivered,Bank Transfer,North,0.1
225,O539949,C00343,P0028,5,13.47,2025-06-07,Delayed,Bank Transfer,North,0.15
226,O820049,C00350,P0018,1,42.78,2025-06-07,Delayed,Credit Card,South,0.1
227,O164680,C00074,P0029,1,8.79,2025-06-07,Delivered,PayPal,Central,0
228,O747332,C00025,P0001,3,17.87,2025-06-07,Delayed,Credit Card,East,0.05
229,O267737,C00318,P0012,1,20.63,2025-06-07,Cancelled,Credit Card,Central,0
230,O348086,C00239,P0026,2,24.86,2025-06-07,Delivered,PayPal,East,0
231,O877178,C00475,P0026,5,27.7,2025-06-07,Delayed,Credit Card,South,0
232,O236540,C00170,P0002,1,14.69,2025-06-07,Delivered,Credit Card,West,0.2
233,O550724,C00110,P0007,5,40.42,2025-06-07,Delayed,PayPal,South,0
234,O983859,C00500,P0005,3,49.27,2025-06-07,Delayed,Bank Transfer,Central,0.05
235,O926312,C00145,P0029,4,39.0,2025-06-07,Delivered,Credit Card,Central,0.1
236,O939783,C00070,P0002,1,34.76,2025-06-07,Delayed,Bank Transfer,North,0.15
237,O741107,C00144,P0030,5,36.11,2025-06-07,Delayed,Credit Card,West,0.15
238,O706270,C00258,P0015,5,27.29,2025-06-07,Delayed,PayPal,East,0.2
239,O155881,C00360,P0002,5,41.49,2025-06-07,Delayed,PayPal,South,0.2
240,O444543,C00492,P0017,2,15.3,2025-06-07,Delivered,Credit Card,North,0.2
241,O936729,C00228,P0017,3,18.82,2025-06-07,Delivered,Credit Card,North,0
242,O609242,C00091,P0028,3,26.96,2025-06-07,Delivered,Credit Card,East,0.1
243,O101570,C00265,P0026,5,19.4,2025-06-07,Delivered,PayPal,West,0.1
244,O638902,C00190,P0017,4,41.12,2025-06-07,Delayed,Credit Card,North,0.1
245,O635788,C00396,P0014,1,13.73,2025-06-07,Delivered,Credit Card,South,0
246,O419116,C00027,P0005,2,49.57,2025-06-07,Delayed,Credit Card,East,0.15
247,O891037,C00002,P0014,3,28.65,2025-06-07,Delayed,Credit Card,Central,0.05
248,O952010,C00175,P0005,3,45.92,2025-06-07,Delivered,Credit Card,West,0.05
249,O129054,C00103,P0011,4,44.42,2025-06-07,Cancelled,Credit Card,South,0
250,O685654,C00256,P0006,4,29.38,2025-06-07,Delivered,Credit Card,East,0
251,O904574,C00373,P0024,5,18.12,2025-06-07,Cancelled,Credit Card,South,0.05
252,O790157,C00209,P0023,1,44.14,2025-06-07,Delayed,Bank Transfer,East,0.05
253,O161553,C00113,P0022,1,37.43,2025-06-07,Delayed,Credit Card,Central,0.1
254,O196076,C00272,P0015,4,27.96,2025-06-07,Cancelled,Bank Transfer,South,0
255,O206645,C00319,P0015,5,29.62,2025-06-07,Cancelled,PayPal,South,0.05
256,O661203,C00336,P0020,3,26.26,2025-06-07,Delivered,PayPal,East,0
257,O489060,C00327,P0021,1,24.68,2025-06-07,Delayed,Credit Card,North,0.1
258,O843173,C00473,P0022,5,12.45,2025-06-07,Delayed,Credit Card,Central,0.1
259,O295267,C00092,P0028,2,30.03,2025-06-07,Delivered,Credit Card,East,0.15
260,O231677,C00314,P0003,5,45.47,2025-06-07,Delayed,Bank Transfer,Central,0.15
261,O121367,C00246,P0002,4,11.64,2025-06-07,Delivered,Credit Card,North,0.05
262,O734406,C00369,P0003,3,16.01,2025-06-07,Cancelled,PayPal,East,0
263,O994896,C00480,P0018,4,19.91,2025-06-07,Delayed,Credit Card,South,0
264,O126114,C00244,P0015,4,20.01,2025-06-07,Delayed,PayPal,East,0.05
265,O685772,C00270,P0004,2,27.5,2025-06-07,Delayed,Bank Transfer,West,0.05
266,O146360,C00014,P0004,3,32.63,2025-06-07,Delayed,PayPal,Central,0
267,O101442,C00381,P0022,3,13.01,2025-06-07,Delayed,Credit Card,West,0.05
268,O354389,C00018,P0004,2,37.56,2025-06-07,Cancelled,Credit Card,West,0.1
269,O188936,C00285,P0018,5,28.19,2025-06-07,Delivered,Bank Transfer,East,0.2
271,O903330,C00169,P0016,4,26.71,2025-06-07,Cancelled,PayPal,North,0
272,O247208,C00023,P0017,1,43.17,2025-06-07,Delivered,PayPal,Central,0.15
273,O868597,C00439,P0010,4,20.9,2025-06-07,Cancelled,PayPal,Central,0.1
274,O549392,C00055,P0028,5,39.95,2025-06-07,Delivered,PayPal,South,0.1
275,O630734,C00099,P0023,5,23.76,2025-06-07,Delayed,Bank Transfer,East,0
276,O945816,C00060,P0016,1,44.85,2025-06-07,Delivered,Credit Card,North,0
277,O372680,C00421,P0022,3,33.97,2025-06-07,Delayed,PayPal,South,0
278,O368753,C00167,P0003,3,10.2,2025-06-07,Delivered,Credit Card,East,0.05
279,O567475,C00332,P0017,3,23.08,2025-06-07,Delayed,Credit Card,East,0.05
280,O857172,C00122,P0024,1,9.78,2025-06-07,Delayed,PayPal,North,0.05
281,O532742,C00325,P0015,5,31.67,2025-06-07,Delayed,Bank Transfer,West,0
282,O976301,C00303,P0018,3,8.78,2025-06-07,Cancelled,PayPal,South,0.15
283,O125232,C00173,P0013,3,10.77,2025-06-07,Delayed,Credit Card,South,0
284,O972169,C00136,P0002,1,21.82,2025-06-07,Delayed,Credit Card,North,0
285,O792612,C00436,P0027,3,49.94,2025-06-07,Delayed,Credit Card,North,0
286,O596820,C00203,P0003,3,14.23,2025-06-07,Cancelled,Credit Card,Central,0
287,O514621,C00421,P0013,1,15.67,2025-06-07,Delivered,Bank Transfer,South,0
288,O107710,C00284,P0016,3,28.17,2025-06-07,Delivered,Bank Transfer,North,0
289,O648683,C00153,P0026,4,31.4,2025-06-07,Delivered,Credit Card,South,0
290,O832672,C00337,P0018,3,19.33,2025-06-07,Delivered,Credit Card,South,0.1
291,O677663,C00291,P0006,1,45.48,2025-06-07,Delayed,Bank Transfer,North,0.05
292,O443992,C00195,P0024,4,9.37,2025-06-07,Delayed,Bank Transfer,North,0
293,O233012,C00310,P0019,3,35.6,2025-06-07,Delivered,Bank Transfer,South,0.2
294,O998205,C00193,P0015,4,46.57,2025-06-07,Delivered,Credit Card,South,0.15
295,O526860,C00156,P0030,1,16.72,2025-06-07,Delivered,Credit Card,North,0.2
296,O932578,C00071,P0011,2,38.12,2025-06-07,Delivered,PayPal,East,0.2
297,O433419,C00145,P0008,3,36.26,2025-06-07,Cancelled,PayPal,South,0
298,O416004,C00200,P0025,4,8.34,2025-06-07,Delivered,PayPal,North,0
299,O273097,C00171,P0008,1,17.96,2025-06-07,Delayed,Bank Transfer,Central,0.15
300,O210166,C00108,P0024,5,47.23,2025-06-07,Delayed,PayPal,East,0
301,O922901,C00246,P0005,1,24.05,2025-06-07,Delivered,Credit Card,Central,0.1
302,O840237,C00070,P0023,1,31.41,2025-06-07,Delivered,Bank Transfer,East,0.15
303,O845999,C00013,P0007,2,39.08,2025-06-07,Delivered,PayPal,Central,0.1
304,O149709,C00497,P0010,2,10.82,2025-06-07,Delivered,Credit Card,West,0
305,O675279,C00365,P0025,2,22.26,2025-06-07,Delayed,Credit Card,East,0
306,O438181,C00310,P0030,4,42.26,2025-06-07,Delivered,Credit Card,West,0
307,O997636,C00386,P0005,2,26.92,2025-06-07,Cancelled,Credit Card,Central,0.2
308,O754562,C00018,P0008,1,15.79,2025-06-07,Delayed,Credit Card,Central,0.2
309,O225071,C00449,P0015,4,36.67,2025-06-07,Delayed,Credit Card,Central,0.2
310,O431681,C00192,P0023,3,38.66,2025-06-07,Delivered,Credit Card,South,0.15
311,O524947,C00371,P0017,5,34.21,2025-06-07,Delivered,Bank Transfer,Central,0
312,O773649,C00205,P0009,3,44.82,2025-06-07,Delivered,PayPal,West,0.05
313,O583659,C00126,P0005,1,48.54,2025-06-07,Delivered,Bank Transfer,East,0
314,O922691,C00067,P0011,5,33.04,2025-06-07,Delivered,PayPal,North,0.05
315,O383089,C00433,P0005,1,43.61,2025-06-07,Delayed,Bank Transfer,East,0.05
316,O941586,C00279,P0002,2,17.6,2025-06-07,Cancelled,Bank Transfer,East,0.05
317,O959241,C00371,P0014,2,18.7,2025-06-07,Delivered,Credit Card,North,0.15
318,O469377,C00051,P0010,1,28.87,2025-06-07,Delayed,Credit Card,East,0.05
319,O649841,C00404,P0014,5,12.54,2025-06-07,Delayed,Credit Card,East,0
320,O357900,C00483,P0010,3,11.35,2025-06-07,Delivered,PayPal,North,0.1
321,O703261,C00486,P0017,2,28.14,2025-06-07,Delivered,Credit Card,North,0.1
